TIME,POSITION,VELOCITY
3.89, -0.732774, 0.680473
3.90, -0.725932, 0.687766
3.91, -0.719018, 0.694991
3.92, -0.712033, 0.702146
3.93, -0.704976, 0.709231
3.94, -0.697848, 0.716246
3.95, -0.690651, 0.723188
3.96, -0.683385, 0.730058
3.97, -0.676050, 0.736856
3.98, -0.668648, 0.743579
3.99, -0.661179, 0.750228
4.00, -0.653644, 0.756802
4.01, -0.646043, 0.763301
4.02, -0.638378, 0.769723
4.03, -0.630649, 0.776068
4.04, -0.622857, 0.782336
4.05, -0.615002, 0.788525
4.06, -0.607087, 0.794636
4.07, -0.599110, 0.800667
4.08, -0.591073, 0.806618
4.09, -0.582978, 0.812488
4.10, -0.574824, 0.818277
4.11, -0.566613, 0.823984
4.12, -0.558345, 0.829609
4.13, -0.550021, 0.835151
4.14, -0.541642, 0.840609
4.15, -0.533209, 0.845984
4.16, -0.524722, 0.851273
4.17, -0.516184, 0.856478
4.18, -0.507593, 0.861597
4.19, -0.498952, 0.866630
4.20, -0.490261, 0.871576
4.21, -0.481521, 0.876435
4.22, -0.472732, 0.881206
4.23, -0.463897, 0.885889
4.24, -0.455015, 0.890484
4.25, -0.446087, 0.894989
4.26, -0.437115, 0.899405
4.27, -0.428100, 0.903732
4.28, -0.419041, 0.907967
4.29, -0.409941, 0.912112
4.30, -0.400799, 0.916166
4.31, -0.391618, 0.920128
4.32, -0.382397, 0.923998
4.33, -0.373138, 0.927776
4.34, -0.363842, 0.931461
4.35, -0.354509, 0.935053
4.36, -0.345141, 0.938551
4.37, -0.335738, 0.941955
4.38, -0.326302, 0.945266
4.39, -0.316833, 0.948481
4.40, -0.307333, 0.951602
4.41, -0.297802, 0.954628
4.42, -0.288241, 0.957558
4.43, -0.278651, 0.960392
4.44, -0.269033, 0.963131
4.45, -0.259389, 0.965773
4.46, -0.249718, 0.968319
4.47, -0.240022, 0.970767
4.48, -0.230303, 0.973119
4.49, -0.220560, 0.975373
4.50, -0.210796, 0.977530
4.51, -0.201010, 0.979589
4.52, -0.191204, 0.981550
4.53, -0.181379, 0.983413
4.54, -0.171536, 0.985178
4.55, -0.161676, 0.986844
4.56, -0.151800, 0.988411
4.57, -0.141908, 0.989880
4.58, -0.132003, 0.991249
4.59, -0.122084, 0.992520
4.60, -0.112153, 0.993691
4.61, -0.102210, 0.994763
4.62, -0.092258, 0.995735
4.63, -0.082296, 0.996608
4.64, -0.072326, 0.997381
4.65, -0.062349, 0.998054
4.66, -0.052365, 0.998628
4.67, -0.042376, 0.999102
4.68, -0.032383, 0.999476
4.69, -0.022387, 0.999749
4.70, -0.012389, 0.999923
4.71, -0.002389, 0.999997
4.72, 0.007611, 0.999971
4.73, 0.017610, 0.999845
4.74, 0.027608, 0.999619
4.75, 0.037602, 0.999293
4.76, 0.047593, 0.998867
4.77, 0.057579, 0.998341
4.78, 0.067560, 0.997715
4.79, 0.077533, 0.996990
4.80, 0.087499, 0.996165
4.81, 0.097456, 0.995240
4.82, 0.107403, 0.994216
4.83, 0.117340, 0.993092
4.84, 0.127265, 0.991869
4.85, 0.137177, 0.990547
4.86, 0.147076, 0.989125
4.87, 0.156959, 0.987605
4.88, 0.166827, 0.985986
4.89, 0.176679, 0.984269
4.90, 0.186512, 0.982453
4.91, 0.196327, 0.980538
4.92, 0.206123, 0.978526
4.93, 0.215898, 0.976416
4.94, 0.225651, 0.974208
4.95, 0.235381, 0.971903
4.96, 0.245089, 0.969501
4.97, 0.254771, 0.967001
4.98, 0.264428, 0.964405
4.99, 0.274059, 0.961713
5.00, 0.283662, 0.958924
5.01, 0.293237, 0.956040
5.02, 0.302783, 0.953060
5.03, 0.312298, 0.949984
5.04, 0.321782, 0.946814
5.05, 0.331234, 0.943549
5.06, 0.340653, 0.940189
5.07, 0.350037, 0.936736
5.08, 0.359387, 0.933189
5.09, 0.368701, 0.929548
5.10, 0.377978, 0.925815
5.11, 0.387217, 0.921989
5.12, 0.396417, 0.918070
5.13, 0.405578, 0.914060
5.14, 0.414698, 0.909959
5.15, 0.423777, 0.905767
5.16, 0.432813, 0.901484
5.17, 0.441806, 0.897111
5.18, 0.450755, 0.892648
5.19, 0.459659, 0.888096
5.20, 0.468517, 0.883455
5.21, 0.477328, 0.878725
5.22, 0.486091, 0.873908
5.23, 0.494806, 0.869004
5.24, 0.503471, 0.864012
5.25, 0.512085, 0.858934
5.26, 0.520649, 0.853771
5.27, 0.529161, 0.848522
5.28, 0.537619, 0.843188
5.29, 0.546024, 0.837769
5.30, 0.554374, 0.832267
5.31, 0.562669, 0.826682
5.32, 0.570908, 0.821014
5.33, 0.579089, 0.815264
5.34, 0.587213, 0.809433
5.35, 0.595278, 0.803520
5.36, 0.603283, 0.797527
5.37, 0.611228, 0.791455
5.38, 0.619112, 0.785303
5.39, 0.626934, 0.779073
5.40, 0.634693, 0.772764
5.41, 0.642389, 0.766379
5.42, 0.650020, 0.759917
5.43, 0.657587, 0.753379
5.44, 0.665088, 0.746765
5.45, 0.672522, 0.740077
5.46, 0.679889, 0.733315
5.47, 0.687188, 0.726480
5.48, 0.694418, 0.719572
5.49, 0.701579, 0.712592
5.50, 0.708670, 0.705540
5.51, 0.715690, 0.698418
5.52, 0.722638, 0.691227
5.53, 0.729514, 0.683966
5.54, 0.736317, 0.676637
5.55, 0.743046, 0.669240
5.56, 0.749702, 0.661776
5.57, 0.756282, 0.654246
5.58, 0.762786, 0.646651
5.59, 0.769215, 0.638991
5.60, 0.775566, 0.631267
5.61, 0.781840, 0.623480
5.62, 0.788035, 0.615630
5.63, 0.794152, 0.607719
5.64, 0.800189, 0.599747
5.65, 0.806147, 0.591716
5.66, 0.812024, 0.583625
5.67, 0.817819, 0.575475
5.68, 0.823533, 0.567269
5.69, 0.829164, 0.559005
5.70, 0.834713, 0.550686
5.71, 0.840178, 0.542311
5.72, 0.845559, 0.533882
5.73, 0.850855, 0.525400
5.74, 0.856067, 0.516865
5.75, 0.861192, 0.508279
5.76, 0.866232, 0.499642
5.77, 0.871185, 0.490955
5.78, 0.876051, 0.482218
5.79, 0.880829, 0.473434
5.80, 0.885520, 0.464602
5.81, 0.890121, 0.455724
5.82, 0.894634, 0.446800
5.83, 0.899057, 0.437832
5.84, 0.903390, 0.428819
5.85, 0.907633, 0.419764
5.86, 0.911785, 0.410667
5.87, 0.915846, 0.401529
5.88, 0.919816, 0.392350
5.89, 0.923693, 0.383133
5.90, 0.927478, 0.373877
5.91, 0.931171, 0.364583
5.92, 0.934770, 0.355254
5.93, 0.938276, 0.345888
5.94, 0.941688, 0.336488
5.95, 0.945005, 0.327055
5.96, 0.948229, 0.317589
5.97, 0.951357, 0.308091
5.98, 0.954390, 0.298562
5.99, 0.957328, 0.289003
6.00, 0.960170, 0.279415
6.01, 0.962916, 0.269800
6.02, 0.965566, 0.260157
6.03, 0.968119, 0.250489
6.04, 0.970576, 0.240795
6.05, 0.972935, 0.231078
6.06, 0.975197, 0.221337
6.07, 0.977362, 0.211574
6.08, 0.979429, 0.201790
6.09, 0.981398, 0.191986
6.10, 0.983268, 0.182163
6.11, 0.985041, 0.172321
6.12, 0.986715, 0.162462
6.13, 0.988290, 0.152587
6.14, 0.989766, 0.142697
6.15, 0.991144, 0.132792
6.16, 0.992422, 0.122874
6.17, 0.993601, 0.112944
6.18, 0.994681, 0.103002
6.19, 0.995661, 0.093051
6.20, 0.996542, 0.083089
6.21, 0.997323, 0.073120
6.22, 0.998004, 0.063143
6.23, 0.998586, 0.053160
6.24, 0.999068, 0.043172
6.25, 0.999449, 0.033179
6.26, 0.999731, 0.023183
6.27, 0.999913, 0.013185
6.28, 0.999995, 0.003185
6.29, 0.999977, -0.006815
6.30, 0.999859, -0.016814
6.31, 0.999641, -0.026811
6.32, 0.999322, -0.036806
6.33, 0.998904, -0.046798
6.34, 0.998386, -0.056784
6.35, 0.997769, -0.066765
6.36, 0.997051, -0.076739
6.37, 0.996234, -0.086706
6.38, 0.995317, -0.096664
6.39, 0.994301, -0.106612
6.40, 0.993185, -0.116549
6.41, 0.991970, -0.126475
6.42, 0.990655, -0.136388
6.43, 0.989242, -0.146288
6.44, 0.987730, -0.156173
6.45, 0.986119, -0.166042
6.46, 0.984409, -0.175895
6.47, 0.982601, -0.185730
6.48, 0.980694, -0.195547
6.49, 0.978690, -0.205344
6.50, 0.976588, -0.215120
6.51, 0.974388, -0.224875
6.52, 0.972090, -0.234607
6.53, 0.969696, -0.244316
6.54, 0.967204, -0.254001
6.55, 0.964616, -0.263660
6.56, 0.961931, -0.273293
6.57, 0.959150, -0.282898
6.58, 0.956273, -0.292476
6.59, 0.953300, -0.302024
6.60, 0.950233, -0.311541
6.61, 0.947070, -0.321028
6.62, 0.943812, -0.330482
6.63, 0.940460, -0.339904
6.64, 0.937014, -0.349291
6.65, 0.933474, -0.358644
6.66, 0.929841, -0.367961
6.67, 0.926115, -0.377240
6.68, 0.922297, -0.386483
6.69, 0.918386, -0.395686
6.70, 0.914383, -0.404850
6.71, 0.910289, -0.413973
6.72, 0.906104, -0.423055
6.73, 0.901828, -0.432095
6.74, 0.897462, -0.441092
6.75, 0.893006, -0.450044
6.76, 0.888461, -0.458951
6.77, 0.883827, -0.467813
6.78, 0.879105, -0.476628
6.79, 0.874295, -0.485395
6.80, 0.869397, -0.494113
6.81, 0.864413, -0.502782
6.82, 0.859342, -0.511401
6.83, 0.854185, -0.519969
6.84, 0.848943, -0.528485
6.85, 0.843616, -0.536948
6.86, 0.838204, -0.545357
6.87, 0.832709, -0.553711
6.88, 0.827130, -0.562011
6.89, 0.821469, -0.570254
6.90, 0.815725, -0.578440
6.91, 0.809900, -0.586568
6.92, 0.803994, -0.594637
6.93, 0.798007, -0.602648
6.94, 0.791941, -0.610597
6.95, 0.785796, -0.618486
6.96, 0.779572, -0.626313
6.97, 0.773270, -0.634077
6.98, 0.766890, -0.641778
6.99, 0.760434, -0.649415
7.00, 0.753902, -0.656987
7.01, 0.747295, -0.664493
7.02, 0.740613, -0.671932
7.03, 0.733856, -0.679305
7.04, 0.727027, -0.686609
7.05, 0.720124, -0.693845
7.06, 0.713150, -0.701011
7.07, 0.706104, -0.708108
7.08, 0.698988, -0.715133
7.09, 0.691802, -0.722087
7.10, 0.684547, -0.728969
7.11, 0.677223, -0.735778
7.12, 0.669831, -0.742513
7.13, 0.662373, -0.749174
7.14, 0.654848, -0.755761
7.15, 0.647258, -0.762271
7.16, 0.639603, -0.768705
7.17, 0.631884, -0.775063
7.18, 0.624102, -0.781343
7.19, 0.616257, -0.787545
7.20, 0.608351, -0.793668
7.21, 0.600384, -0.799712
7.22, 0.592357, -0.805675
7.23, 0.584271, -0.811559
7.24, 0.576126, -0.817361
7.25, 0.567924, -0.823081
7.26, 0.559665, -0.828719
7.27, 0.551350, -0.834274
7.28, 0.542980, -0.839746
7.29, 0.534555, -0.845133
7.30, 0.526078, -0.850437
7.31, 0.517547, -0.855655
7.32, 0.508965, -0.860787
7.33, 0.500332, -0.865834
7.34, 0.491648, -0.870794
7.35, 0.482916, -0.875667
7.36, 0.474135, -0.880452
7.37, 0.465307, -0.885149
7.38, 0.456433, -0.889758
7.39, 0.447512, -0.894278
7.40, 0.438547, -0.898708
7.41, 0.429538, -0.903049
7.42, 0.420487, -0.907299
7.43, 0.411393, -0.911458
7.44, 0.402258, -0.915526
7.45, 0.393083, -0.919503
7.46, 0.383868, -0.923388
7.47, 0.374615, -0.927180
7.48, 0.365325, -0.930880
7.49, 0.355998, -0.934487
7.50, 0.346635, -0.938000
7.51, 0.337238, -0.941419
7.52, 0.327807, -0.944745
7.53, 0.318344, -0.947975
7.54, 0.308848, -0.951111
7.55, 0.299322, -0.954152
7.56, 0.289765, -0.957098
7.57, 0.280180, -0.959947
7.58, 0.270567, -0.962701
7.59, 0.260926, -0.965359
7.60, 0.251260, -0.967920
7.61, 0.241568, -0.970384
7.62, 0.231852, -0.972751
7.63, 0.222114, -0.975021
7.64, 0.212352, -0.977193
7.65, 0.202570, -0.979268
7.66, 0.192767, -0.981244
7.67, 0.182945, -0.983123
7.68, 0.173105, -0.984903
7.69, 0.163248, -0.986585
7.70, 0.153374, -0.988168
7.71, 0.143485, -0.989653
7.72, 0.133581, -0.991038
7.73, 0.123664, -0.992324
7.74, 0.113735, -0.993511
7.75, 0.103794, -0.994599
7.76, 0.093843, -0.995587
7.77, 0.083883, -0.996476
7.78, 0.073914, -0.997265
7.79, 0.063938, -0.997954
7.80, 0.053955, -0.998543
7.81, 0.043967, -0.999033
7.82, 0.033975, -0.999423
7.83, 0.023979, -0.999712
7.84, 0.013981, -0.999902
7.85, 0.003982, -0.999992
7.86, -0.006018, -0.999982
7.87, -0.016018, -0.999872
7.88, -0.026015, -0.999662
7.89, -0.036011, -0.999351
7.90, -0.046002, -0.998941
7.91, -0.055989, -0.998431
7.92, -0.065970, -0.997822
7.93, -0.075945, -0.997112
7.94, -0.085912, -0.996303
7.95, -0.095871, -0.995394
7.96, -0.105820, -0.994385
7.97, -0.115758, -0.993277
7.98, -0.125685, -0.992070
7.99, -0.135599, -0.990764
8.00, -0.145500, -0.989358
8.01, -0.155386, -0.987854
8.02, -0.165257, -0.986251
8.03, -0.175111, -0.984549
8.04, -0.184947, -0.982748
8.05, -0.194765, -0.980850
8.06, -0.204564, -0.978853
8.07, -0.214342, -0.976759
8.08, -0.224099, -0.974566
8.09, -0.233833, -0.972277
8.10, -0.243544, -0.969890
8.11, -0.253231, -0.967406
8.12, -0.262892, -0.964825
8.13, -0.272527, -0.962148
8.14, -0.282135, -0.959375
8.15, -0.291714, -0.956506
8.16, -0.301264, -0.953541
8.17, -0.310785, -0.950480
8.18, -0.320274, -0.947325
8.19, -0.329731, -0.944075
8.20, -0.339155, -0.940731
8.21, -0.348545, -0.937292
8.22, -0.357900, -0.933760
8.23, -0.367220, -0.930134
8.24, -0.376503, -0.926415
8.25, -0.385748, -0.922604
8.26, -0.394955, -0.918701
8.27, -0.404122, -0.914705
8.28, -0.413248, -0.910618
8.29, -0.422334, -0.906440
8.30, -0.431377, -0.902172
8.31, -0.440377, -0.897813
8.32, -0.449333, -0.893364
8.33, -0.458244, -0.888827
8.34, -0.467109, -0.884200
8.35, -0.475928, -0.879484
8.36, -0.484698, -0.874681
8.37, -0.493421, -0.869791
8.38, -0.502094, -0.864813
8.39, -0.510717, -0.859749
8.40, -0.519289, -0.854599
8.41, -0.527809, -0.849363
8.42, -0.536276, -0.844043
8.43, -0.544689, -0.838638
8.44, -0.553048, -0.833149
8.45, -0.561352, -0.827577
8.46, -0.569599, -0.821922
8.47, -0.577790, -0.816185
8.48, -0.585923, -0.810367
8.49, -0.593997, -0.804467
8.50, -0.602012, -0.798487
8.51, -0.609967, -0.792427
8.52, -0.617860, -0.786288
8.53, -0.625692, -0.780070
8.54, -0.633461, -0.773774
8.55, -0.641167, -0.767401
8.56, -0.648809, -0.760951
8.57, -0.656386, -0.754425
8.58, -0.663897, -0.747824
8.59, -0.671342, -0.741147
8.60, -0.678720, -0.734397
8.61, -0.686030, -0.727573
8.62, -0.693271, -0.720677
8.63, -0.700443, -0.713708
8.64, -0.707545, -0.706668
8.65, -0.714576, -0.699557
8.66, -0.721536, -0.692377
8.67, -0.728424, -0.685127
8.68, -0.735238, -0.677809
8.69, -0.741980, -0.670422
